-0.278 -78.876 28.773
-0.987 -77.993 28.752
-2.112 -76.593 28.756
-2.816 -75.715 28.774
-4.215 -73.972 28.764
-4.899 -73.120 28.774
-5.699 -72.123 28.768
-6.426 -71.218 28.764
-7.298 -70.132 28.760
-8.082 -69.155 28.753
-8.955 -68.066 28.755
-9.854 -66.944 28.749
-10.804 -65.761 28.739
-11.830 -64.482 28.719
-12.774 -63.308 28.689
-13.813 -62.016 28.669
-14.906 -60.655 28.659
-16.019 -59.270 28.662
-17.182 -57.824 28.662
-18.375 -56.341 28.657
-19.682 -54.716 28.660
-20.803 -53.322 28.669
-22.024 -51.800 28.662
-23.287 -50.221 28.652
-24.567 -48.623 28.562
-25.882 -46.991 28.510
-27.314 -45.217 28.594
-28.555 -43.678 28.641
-29.863 -42.052 28.663
-31.246 -40.303 28.684
-32.465 -38.753 28.691
-33.674 -37.116 28.686
-34.835 -35.270 28.679
-35.753 -33.676 28.678
-36.765 -31.932 28.703
-37.813 -30.060 28.725
-38.672 -28.468 28.731
-39.551 -26.750 28.728
-40.402 -24.859 28.698
-41.117 -23.212 28.670
-42.007 -21.165 28.643
-42.651 -19.687 28.624
-43.357 -18.052 28.603
-44.097 -16.339 28.612
-44.822 -14.664 28.674
-45.561 -12.982 28.675
-46.315 -11.354 28.650
-47.112 -9.625 28.649
-47.821 -8.084 28.646
-48.675 -6.384 28.656
-49.519 -4.971 28.662
-50.408 -3.659 28.659
-51.396 -2.331 28.663
-52.355 -1.112 28.707
-53.336 0.092 28.720
-54.255 1.203 28.716
-55.147 2.284 28.716
-56.021 3.356 28.716
-56.893 4.446 28.713
-57.768 5.559 28.709
-58.636 6.686 28.707
-59.545 7.889 28.708
-60.492 9.163 28.709
-61.460 10.486 28.710
-62.427 11.821 28.711
-63.444 13.236 28.711
-64.474 14.676 28.712
-65.521 16.144 28.713
-66.586 17.636 28.714
-67.639 19.109 28.715
-68.753 20.666 28.714
-69.864 22.215 28.712
-70.965 23.747 28.711
-72.100 25.322 28.712
-73.225 26.879 28.713
-74.350 28.437 28.712
-75.489 30.019 28.710
-76.619 31.603 28.706
-77.721 33.172 28.702
-78.820 34.775 28.703
-79.887 36.377 28.706
-80.911 37.969 28.707
-81.934 39.625 28.707
-82.916 41.288 28.710
-83.864 42.973 28.714
-84.737 44.605 28.713
-85.651 46.410 28.711
-86.505 48.197 28.711
-87.302 49.963 28.710
-88.051 51.714 28.708
-88.796 53.562 28.708
-89.488 55.382 28.708
-90.143 57.211 28.707
-90.758 59.038 28.705
-91.338 60.877 28.704
-91.881 62.726 28.702
-92.323 64.343 28.702
-92.795 66.215 28.703
-93.255 68.217 28.704
-93.630 70.015 28.704
-94.006 72.022 28.703
-94.310 73.837 28.702
-94.611 75.884 28.701
-94.835 77.633 28.701
-95.059 79.684 28.701
-95.225 81.515 28.704
-95.373 83.613 28.706
-95.470 85.548 28.706
-95.528 87.452 28.709
-95.547 89.409 28.712
-95.528 91.353 28.713
-95.473 93.186 28.712
-95.369 95.243 28.710
-95.243 97.043 28.710
-95.063 99.065 28.712
-94.866 100.880 28.712
-94.604 102.918 28.713
-94.332 104.734 28.713
-93.984 106.777 28.714
-93.648 108.525 28.715
-93.209 110.575 28.716
-92.790 112.349 28.716
-92.278 114.333 28.714
-91.797 116.059 28.712
-91.200 118.051 28.710
-90.645 119.776 28.713
-89.965 121.762 28.716
-89.356 123.435 28.715
-88.611 125.368 28.711
-87.937 127.020 28.708
-87.153 128.847 28.706
-86.289 130.757 28.706
-85.529 132.355 28.704
-84.617 134.185 28.702
-83.799 135.752 28.701
-82.802 137.581 28.701
-81.908 139.152 28.700
